,rcn,id,acronym,status,programme,topics,frameworkProgramme,title,startDate,endDate,projectUrl,objective,totalCost,ecMaxContribution,call,fundingScheme,coordinator,coordinatorCountry,participants,participantCountries,subjects
10670,213810,785416,ENIGMA,SIGNED,H2020-EU.3.4.5.2.,JTI-CS2-2017-CFP06-REG-01-10,H2020,Supervisor Control for ENhanced electrIcal enerGy MAnagement,2018-04-01,2021-03-31,,"The ENIGMA project will address the development of the Centralized Smart Supervisory (CSS) controller by means of formal and methodological approaches. During a first stage, the mathematical optimization tools will be used to obtain the formulation for the Enhanced Electrical Energy Management (E2-EM) control logics. This will ensure the ability to formally prove the correctness and optimality of the control action by construction. The CSS controller will be interfaced with the lower-level controllers of the aircraft Smart-Grid Network and the Energy Storage and Regeneration System delivered by currently running Regional Integrated Aircraft Demonstration Platform projects. This strategy will provide an optimal management and sharing of available on-board electric power during overloading and failure conditions such that the overload capability requirement for main generators sizing can be removed leading to substantial reduction of generators’ mass. The developed controller will also be capable of expansion to include interfaces with other lower-level systems to be developed by future Regional projects. The overall system will be designed, developed and integrated by the ENIGMA team, and validated at TRL5 through testing on the Regional IRON BIRD Ground Demonstrator over a period of 36 months. ENIGMA aims at being a significant breakthrough in the field of the on-board energy management techniques, by exploiting a novel approach for their introduction and definition of global E2-EM. This will pave the road towards more efficient, greener aviation.
The ENIGMA team brings together leading aerospace systems companies, through United Technologies Research Centre Ireland and Aeromechs, and leading academic institutions, The University of Nottingham and Università degli Studi della Campania “Luigi Vanvitelli”, whose track record and complementary skills will ensure innovative development and later commercial exploitation of the developed CSS.",826260.0,826260.0,H2020-CS2-CFP06-2017-01,CS2-RIA,"UNITED TECHNOLOGIES RESEARCH CENTRE IRELAND, LIMITED",IE,AEROMECHS SRL;THE UNIVERSITY OF NOTTINGHAM;UNIVERSITA DEGLI STUDI DELLA CAMPANIA LUIGI VANVITELLI,IT;UK,
10672,213863,807791,lif-E-Buoy,CLOSED,H2020-EU.3.4.;H2020-EU.2.1.1.;H2020-EU.2.3.1.,SMEInst-10-2016-2017,H2020,Compact hydro generator for electric vehicles charging stations (to serve as an energy lifebuoy),2018-03-01,2018-07-31,http://willisits.com/1339-2/,"The lif-E-Buoy project is a facility using the hydrokinetic energy of running water as a clean energy source for charging of electrical road vehicles (cars, bicycles, etc.) and provide noise and emission free electricity output for other applications such as large cruiser boats or for freight vessels stopping in city centres as a good alternative to running their generators. 
Willisits Engineering Ltd. was established in 2009 to develop world-class electric vehicle drive systems and other innovative technologies. A few years ago we started the development of an underwater river power plant system (hydro generator) and in 2016 we built a prototype and demonstrated its operation in a relevant environment (river – TRL6). The development was a success but due to limited resources and other developments the commercialisation of it was put on hold.
Recently we have received interest from companies who approached us with application areas for our technology. Namely, to use our hydro generator for the charging of electronic vehicles and to provide power for infrastructures located near (or on) rivers. Based on this interest we carried out an initial market study and found that there is serious potential to use our existing results and focus it on this new application. 
We have decided to apply for SME Instrument Phase 1 funding to carry out a feasibility study in order to strengthen our initial findings and based on the outcome proceed for Phase 2 to produce the first commercial hydro powered electric vehicle charging station.",71429.0,50000.0,H2020-SMEINST-1-2016-2017,SME-1,WILLISITS MERNOKIRODA KORLATOLT FELELOSSEGU TARSASAG,HU,,,
10690,213839,796322,PolymersForSolarFuel,CLOSED,H2020-EU.1.3.2.,MSCA-IF-2017,H2020,Conjugated Polymers for Light-Driven Hydrogen Evolution from Water,2018-03-01,2020-02-29,,"With a steadily increasing demand of the global energy consumption and reliance of geopolitically sensitive sources of energy, such as petroleum and coal, there has never been such an urgency to explore alternative clean, renewable energy supplies. Aside from the obvious limitations in availability, those raw materials and their combustion products are considered polluting and low-efficient. Attempts have been made to address these concerns by introduction of solar panels, wind and hydro-electric power. While those solutions intermittently reach high efficiencies and can be used complimentary to each other, one challenge remains unmet—the supply of storable energy.
The project PolymersForSolarFuel will address globally relevant challenges in the field of renewable energy generation and storage. It will combine established concepts from the fields of photovoltaics, photocatalysis, and polymer synthesis and enable the development of novel sustainable materials for solar-driven evolution of hydrogen from water. The “PolymersForSolarFuel” project aims to: a) investigate organic materials and contribute to an overall database of photoactive compounds, b) select most promising candidates through property-related screening, c) cross-examine physical (two-component) and chemical (one-component) combinations of such materials and identify most promising final candidate(s) and d) develop scale-up protocols and assemble a prototype of a feasible size. This proposal will detail the work action and outline the beneficial synergy between the host’s experience in the field of photocatalytic hydrogen evolution and the applicant’s experience in synthetic chemistry and in-depth analysis of organic compounds and their structure-to-function relationships. It will further identify contributions towards the personal and professional development of the applicant and show the overall share in advancement of science and education of the public in Europe within a cutting-edge research field.",183454.8,183454.8,H2020-MSCA-IF-2017,MSCA-IF-EF-ST,THE UNIVERSITY OF LIVERPOOL,UK,,,
10693,213709,808814,LNGCOLD,CLOSED,H2020-EU.3.3.;H2020-EU.2.1.1.;H2020-EU.2.3.1.,SMEInst-09-2016-2017,H2020,Improving energy efficiency and reducing carbon emissions by utilization of ultra-cold energy from the regasification of liquefied natural gas (LNG),2018-02-01,2018-07-31,http://www.eco-ice.net/en/,"Cost-efficient and environment friendly provision of cold for industry, food handling, shipbuilding, and LNG (Liquefied Natural Gas) fuelled trucks is a rapidly growing market opportunity. Electrical refrigeration and air-conditioning consume almost 25% of the electrical energy in Europe, a tremendous saving potential and attractive business opportunity for new technologies. Eco ice Kälte GmbH develops technologies to exploit this attractive market potential, to generate significant growth and with this contribute to achieving the climate targets. One very promising approach results from the globally rising use of LNG as energy source, since a huge cold capacity at -162°C is stored in LNG, which is hitherto completely wasted during the regasification by heat exchange with ambient air or sea water at port terminals and LNG end user’s sites, respectively. Eco ice has developed and patented an innovative technology (TRL6) in various output classes to recover this highly valuable cold capacity without additional electrical power or gas consumption and provide it very cost-efficiently to the market.
The Eco ice technology has the potential, without any self-consumption of natural gas, to create electrical power savings of 5.000 MW, i.e. to replace the fossil fuels for several large power stations. The cold market is increasingly looking for such cost-efficient and eco-friendly alternatives, as confirmed by customer feedback. Even in a conservative business scenario, which assumes a technology conversion rate of only 5%, a profitable short term growth up to a high two digit million € revenue value can be expected, as confirmed by ongoing negotiations with potential launching customers and business partners. The proposed feasibility study aims at completing the market study, concretising the business plan and developing an optimised business model and sales plan starting with already initiated business partnerships.",71429.0,50000.0,H2020-SMEINST-1-2016-2017,SME-1,ECO ICE KALTE GMBH,DE,,,
10736,213724,809308,R3FIBER,CLOSED,H2020-EU.3.5.;H2020-EU.2.3.1.,SMEInst-11-2016-2017,H2020,Eco-innovation in Composites Recycling for a Resource-Efficient Circular Economy,2018-03-01,2018-08-31,http://www.trcsl.com,"Composite materials or FRPs are the construction materials of the future. Due to their excellent properties (light weight and high mechanical performance), FRPs are becoming the material of choice for industries such as aerospace, automotive, construction or wind energy. Market drivers such as regulations on CO2 emissions reduction or increased energy efficiency guarantee this rising trend.
However, a new environmental problem is arising since no industrial process exist that allows for material recycling or valorisation. End-of-life composite materials, already considered as an emerging waste, are currently landfilled, the last disposal option in the Waste Directive. A spin-off of the Spanish Higher Council for Scientific Research (CSIC) born in 2016, Thermal Recycling of Composites S.L. (TRC) aims to industrially develop, exploit and commercialise a technology for the recycling of composite materials, allowing for complete valorisation of mass, energy and materials in a zero-residue process. The R3FIBER process, validated at pilot plant scale, provides a disruptive solution to recycle wind turbine blades and other composites, obtaining high quality glass and carbon fibres, heat and energy in a clean and energy-efficient, self-sustained
process, thus creating a new global market for raw composite materials. The new process will contribute to address European priorities related to circular economy (COM/2015/0614), resource efficiency (COM(2011) 571) and low carbon economy (2050 Roadmap). During Phase 1, the technical and economic feasibility of R3FIBER will be studied to define key sectors for market introduction, establish strategic alliances with key stakeholders and design the scale-up of the industrial plant for implementation and industrial exploitation during Phase 2.",71429.0,50000.0,H2020-SMEINST-1-2016-2017,SME-1,"THERMAL RECYCLING OF COMPOSITES, SOCIEDAD LIMITADA",ES,,,
10740,214059,764048,POLYPHEM,SIGNED,H2020-EU.3.3.2.,LCE-07-2016-2017,H2020,Small-Scale Solar Thermal Combined Cycle,2018-04-01,2022-03-31,,"The main objective of POLYPHEM is to improve the flexibility and the performance of small-scale Concentrated Solar Power plants. The outcomes of the project will allow in the short term to reinforce the competitiveness of this new low carbon energy technology and therefore to favour its integration in the European energy mix.
The technology consists of a solar-driven micro gas-turbine as top cycle and an Organic Rankine Cycle as bottom cycle. There is no water requirement for cooling. A thermal energy storage is integrated between both cycles. The resulting power block is a solar power generation system able to meet the requirements of a local variable demand of energy with a high average conversion efficiency of 18% and a low environmental profile with an investment cost target below 5 €/W. Besides electricity generation, other applications will be considered for future developments, such as heating/cooling of multi-family buildings or water desalination for small communities.
The project will build a 60 kW prototype plant with a 2 MWh thermal storage unit and will validate this innovative power cycle in a relevant environment (TRL 5), assess its technical, economic and environmental performances and establish the guidelines for its commercial deployment. POLYPHEM will lead to a supply price of electricity of 21 c€/kWh under DNI of 2050 kWh/m2/year, thus meeting for small scale CSP plants the 40% cost reduction of the SET Plan. 
POLYPHEM will be carried out by 4 research centers and 5 private  companies. The project makes a step forward beyond the state-of-the-art of thermodynamic cycles in CSP plants. The micro gas-turbine will be solarized to integrate solar energy in the cycle. A novel pressurized air solar receiver with 80% efficiency and 0.4 €/W will be developed from a technology of solar absorber currently patented by CEA and CNRS. A thermocline storage at 28 €/kWh will be developed with thermal oil and a filler material in a concrete tank.",4975961.25,4975961.25,H2020-LCE-2017-RES-RIA-TwoStage,RIA,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,FR,"FRAUNHOFER GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V.;COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES;CENTRO DE INVESTIGACIONES ENERGETICAS, MEDIOAMBIENTALES Y TECNOLOGICAS-CIEMAT;KAEFER Isoliertechnik GmbH & Co.KG;EURONOVIA;ORCAN ENERGY AG;AALBORG CSP AS;ARRAELA SL",DE;FR;ES;DK,
10741,213757,764090,EASY-RES,SIGNED,H2020-EU.3.3.2.,LCE-07-2016-2017,H2020,Enable Ancillary Services bY Renewable Energy Sources,2018-03-01,2021-06-30,,"The stability and security of the traditional electrical power systems is largely based on the inherent properties of synchronous generators (SGs). Such properties are: the grid-forming capability, the inertia, the damping of transients, and the provision of large currents during faults. The growing penetration of converter-interfaced (thus inertia-less) Distributed Renewable Energy Sources (DRES) will eventually replace dispatchable SGs and increase power volatility, causing large frequency deviations and voltage regulation problems. The increase of SG spinning reserves, the grid reinforcement and the use of central electric energy storage systems are some solutions proposed to tackle this problem. However, due to their centralized approach and high cost, these actions can be undertaken only centrally by TSOs and DSOs. 
By adopting a unified bottom-up approach, EASY-RES will develop novel control algorithms for all converter-interfaced DRES, to enable them to operate similarly to conventional SGs, providing to the grid inertia, damping of transients, reactive power, fault ride through and fault-clearing capabilities, and adaptable response to primary and secondary frequency control. These new functionalities will be transparent to all grid voltage levels.
The EASY-RES approach is based on the distribution network segmentation into small Individual Control Areas, where the DRES and properly sized storage systems will be optimally coordinated via suitably designed ICT infrastructure to provide Ancillary Services (AS) such as inertial response, reactive power support, power smoothing, and contribution to fault-clearing in a bottom-up approach: prosumers and independent RES producers to DSOs, and DSOs to TSOs.  By evaluating the costs and benefits of the developed functionalities, viable business models will be developed for the aforementioned stakeholders. Finally, modifications to the existing grid codes will be suggested for the implementation of the developed AS.",4562357.5,4562357.5,H2020-LCE-2017-RES-RIA-TwoStage,RIA,ARISTOTELIO PANEPISTIMIO THESSALONIKIS,EL,ELEKTRO GORENJSKA PODJETJE ZA DISTRIBUCIJO ELEKTRICNE ENERGIJE DD;FENECON GMBH;STADTWERK HASSFURT GMBH;GESHAFTSSTELLE ZENTRUM DIGITALISIERUNG BAYERN;UNIVERSITY OF LANCASTER;STADT LANDAU A.D. ISAR;UNIVERSITAT PASSAU;INDEPENDENT POWER TRANSMISSION OPERATOR SA;TECHNISCHE UNIVERSITEIT DELFT;UNIVERSIDAD DE SEVILLA,SI;DE;UK;EL;NL;ES,
10774,213876,808585,gridBox,CLOSED,H2020-EU.3.3.;H2020-EU.2.1.1.;H2020-EU.2.3.1.,SMEInst-09-2016-2017,H2020,A smart energy management system for energy transfers and improved grid efficiency,2018-01-01,2018-04-30,https://gridx.de/produkt/gridbox/,"Imbalances in the energy generation and demand of renewable technologies causes energy storage systems to reach maximum capacity and not be able to supply enough energy for the evening demand. This results in energy consumers having to get an energy supply from conventional sources. This means a slow ROI for decentralised renewable energy producers due to having to still pay for energy daily. The energy market is unclear and incomprehensible with most energy consumers not enough info on their energy consumption and generation rates.
gridBox is a smart energy management system that monitors energy generation and consumption rates and produces analytics to optimise energy transfers between generators, energy storage systems and the grid. It will also inform the user of actionable tasks that can be performed to reduce energy consumption by ~30% and improve energy efficiency through the analytics algorithms. It creates increased revenues for decentralised renewable energy producers and battery storage system owners by selling excess energy back to the grid. gridBox will increase the mix of renewable energy on the grid supplying all consumers with clean energy.
Following on from promising preliminary validation of the innovative technology through the operational tests conducted with a German community of decentralised renewable energy producers, gridX now intends to finalise developments of the system, scale up production and fully commercialize the solution by reaching the market in 2020. Incorporated in the Germany in 2016 they have received €875K in funding with 16 staff members.
The proposed work in Phase 1 of the SME instrument fits into gridX’s plan to reach market by contributing financial resources needed to plan a fast and wide deployment of gridBox and the market uptake. It also allows the SME to accomplish key feasibility activities and reduce business risks, such as business planning, customer identification and outreach, and stronger IP management strategy.",71429.0,50000.0,H2020-SMEINST-1-2016-2017,SME-1,GRIDX GMBH,DE,,,
10783,213073,779589,REVIVE,SIGNED,H2020-EU.3.4.6.1.,FCH-01-7-2017,H2020,Refuse Vehicle Innovation and Validation in Europe,2018-01-01,2021-12-31,https://h2revive.eu/,"REVIVE will significantly advance the state of development of fuel cell refuse trucks, by integrating fuel cell powertrains into 15 vehicles and deploying them in 8 sites across Europe.  The project will deliver substantial technical progress by integrating fuel cell systems from three major  suppliers and developing effective hardware and control strategies to meet highly demanding refuse truck duty cycles. Specific work on standardisation will ensure that the lessons learned are applicable to the full range of OEMs supplying vehicles into the European market, helping to accelerate the introduction of next generation products. In parallel, the demonstration activities will greatly raise awareness of the viability of fuel cells as a solution to demanding heavy duty vehicle uses (and raise public awareness of hydrogen mobility more generally due to the visibility of the trucks). A successful demonstration of fuel cell trucks will have substantial impacts beyond the technical progress delivered by the project itself, as it will enable public authorities to continue implementing bold decarbonisation strategies by providing clear evidence that viable zero emissions solutions will exist for all vehicle types in the medium term. The project will also support the wider rollout of hydrogen mobility by introducing a further source of hydrogen demand that can improve the economics of existing and future refuelling station deployments, in turn facilitating the rollout of other vehicle types.",8706255.0,4993851.0,H2020-JTI-FCH-2017-1,FCH2-IA,TRACTEBEL ENGINEERING,BE,STAD ANTWERPEN;E-TRUCKS EUROPE;SAVER NV;GEMEENTE GRONINGEN;COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES;WATERSTOFNET VZW;GEMEENTE BREDA;SUEZ NEDERLAND HOLDING BV;SEAB SERVIZI ENERGIA AMBIENTE BOLZANO SPA;GEMEENTE AMSTERDAM;SYMBIO;ELEMENT ENERGY LIMITED;AZIENDA SERVIZI MUNICIPALIZZATI DI MERANO SPA;SWISS HYDROGEN SA,BE;NL;FR;IT;UK;CH,
10793,213624,807140,BIAR,CLOSED,H2020-EU.3.3.;H2020-EU.2.1.1.;H2020-EU.2.3.1.,SMEInst-09-2016-2017,H2020,THE BiAR PROCESS: TRANSFORMING LOW-VALUE BIOMASSESINTO HIGHLY VALUABLE FOR ENERGY-RECOVERY FUELS,2018-03-01,2018-06-30,http://www.inser.it/dovesiamo.php,"Bioenergy is by far the leading renewable energy source in Europe, accounting for 61.2% of all renewable energy sources consumed. The increasing demand is attributed to the fact that biomass is the only renewable energy source providing solutions for all energy sectors: transportation, power, and heating and cooling.  
Due to this high demand, European biomass industry has the neccesity of making a better energetic use of the feedstocks and wastes, which are continuously generated but are practically unused in energetic terms due to their ash-rich content, which is regulated by the ISO 17225.
BiAR is a chemical proccess to remove the ash content from ash-rich lignocellulosic (e.g. bark, rice husks) up to 95% biomass or sludge digestate, that consists of 3 differentiated steps: 1) liquefaction of the organics through solvolysis, 2) ash content separation through filtration, and 3) recovery of solvents through distillation. BiAR is a process for the valorisation of wastes, increasing their efficiency as a fuel up to 90% but also increasing their economic value since the produced pellets will be sold at higher price thanks to the improvement in the quality. Thus, biomass pellets producers will be willing to pay for a process that will help them to increase their benefits per ton (in the worst scenario, they will increase the selling price from 129 €/ton Enplus B pellets to 230 €/ton EnplusA1). Thus, BiAR will increase the benefits of biomass pellet producers up to more than 200%.
Moreover, BiAR process in aligned with the EU's Renewable Energy Directive (2009/28/EC), which sets a 20% target of energy consumption from renewable sources by 2020, with bioenergy playing a key role. BiAR will help to boost the Circular Economy in Europe since it is the only proccess able to valorise wastes and sludges, that nowadays cannot be used with energetic purposes.",71429.0,50000.0,H2020-SMEINST-1-2016-2017,SME-1,INSER ENERGIA SRL,IT,,,
10795,213562,784960,SCORE,SIGNED,H2020-EU.3.3.7.;H2020-EU.3.3.1.,EE-06-2016-2017,H2020,Supporting Consumer Co-Ownership in Renewable Energies,2018-04-01,2021-03-31,,"The transition from fossil fuels to renewable energy (RE) sources requires motivating consumers to change their consumption habits so as to balance demand with a volatile energy supply and to accept new technologies like smart meters. Consumer co-ownership in RE – “Citizen Energy” – has proved successful in engaging consumers in financing RES, thus becoming “prosumers” which in turn induced positive behavioural changes in energy consumption. “Prosumer” models, however, are still not widely implemented across Europe. 

Guaranteed feed-in tariffs have facilitated the repayment of RE installation loans, but now a shift to auction systems favouring large-scale projects threatens this powerful incentive to citizens' investment. Moreover, the typical “prosumer” is male, middle aged and with a higher in-come whereas the participation of women and social groups vulnerable to fuel poverty is uncommon. The rebound effect and insufficient use of ICT solutions are additional problems.

SCORE

• Facilitates consumers to become prosumers of RE, firstly in three pilot regions in Italy, Poland and the Czech Republic, secondly in cities across Europe following the pilot projects. It applies Consumer Stock Ownership Plans (CSOPs) utilising established best practice up-dated by inclusive financing techniques and combined with energy efficiency measures. 

• Activates local authorities and consumers demonstrating the positive impact co-ownership has on consumer behaviour. It shows the ability of this democratic participation model to include women as well as low-income households, in particular unemployed.

• Empowers consumers and municipalities in a capacity-building program through the launch of an interactive online “RE Prosumer Investment Calculator” and seminars in the five partner countries (DE, IT, BG, PL, CZ). 

• Formulates policy recommendations to promote prosumership and to remove barriers for consumers to become active market players at the EU and national levels.",1988625.0,1988625.0,H2020-EE-2017-CSA-PPI,CSA,STIFTUNG EUROPA-UNIVERSITAT VIADRINA FRANKFURT (ODER),DE,CLIMATE ALLIANCE - KLIMA-BUENDNIS - ALIANZA DEL CLIMA e.V.;DEUTSCHER CARITASVERBAND EV;FEDERACJA KONSUMENTOW STOWARZYSZENIE;AMICO SOCIETA COOPERATIVA SOCIALE;LA FORESTA SOCIETA' COOPERATIVA;CONSORZIO FORESTALE ALTA VALLE SUSA;CENTER FOR THE STUDY OF DEMOCRACY;EC BREC INSTYTUT ENERGETYKI ODNAWIALNEJ SP ZOO;MESTO LITOMERICE;POLITECNICO DI TORINO;CO2ONLINE GENUETZIGE BERATUNGSGESELLSCHAFT MBH;PORSENNA O.P.S;MIASTO SLUPSK,DE;PL;IT;BG;CZ,
10805,213620,806940,TT-Battery,SIGNED,H2020-EU.3.3.;H2020-EU.2.1.1.;H2020-EU.2.3.1.,SMEInst-09-2016-2017,H2020,"Low cost, long durability rechargeable Green Battery based on Zn and MnO2 electrodes.",2018-02-01,2018-07-31,https://www.tuscantech.it/,"TT-Battery project deals with the validation, industrialization and commercialization of an innovative electrochemical storage device, patented by the Proposer TTSB S.r.l. and able to achieve unparalleled targets in terms of cost and durability. The rechargeable battery technology is based on cost-effective materials, such as zinc and manganese, which are non-polluting, safe and abundant in nature. The device comprises a zinc anode, a patented manganese dioxide (MnO2) cathode and an aqueous solution of zinc sulfate (ZnSO4) as electrolyte. Its architecture is simple, does not require maintenance and the battery is non-polluting, non-toxic, non-acid, non-corrosive, non-explosive.
The technology developed delivers breakthrough properties:
• The battery is able to perform more than 5000 cycles of charging and discharging, with a capacity loss under 10%. 
• The innovative and patented cathode material (MnO2 decorated with copper hexacyanoferrate), with specific capacity equal or higher than 300 mAh/g, provides the battery with high energy density (> 250 Wh/kg).
• The low-cost materials used and the simple architecture leads to a target cost of production (CoP) < 150 €/kWh and a market price = 250 €/kWh, in line with the Pb-acid batteries and pumped hydro systems cost (the benchmark in the stationary storage sector).
Thanks to TT-Battery 'killer' solution, batteries technology will overcome the pumped hydro systems competition and allow to achieve the stationary energy storage EU targets. The Business opportunity is huge: a Boston Consulting Group report ('Revising Energy Storage') quantifies 140 bln$ of global investments in stationary battery power by 2030, while Citigroup is even more optimistic, assuming 400 bln$ in investments and 240 GW/year in installations by 2030.",71429.0,50000.0,H2020-SMEINST-1-2016-2017,SME-1,TTSB SRL,IT,,,
10818,213416,761036,MMAMA,SIGNED,H2020-EU.2.1.3.,NMBP-07-2017,H2020,Microwave Microscopy for Advanced and Efficient Materials Analysis and Production,2017-11-01,2020-10-31,https://www.mmama.eu/,"Products which require complicated material systems and nanoscale structural organization, e.g. third-generation solar cells, are often difficult to develop. This is because electronic properties of bulk semiconductors are often masked or at least strongly superimposed by material interface properties. Additionally these interface properties are also complex and thus make product design difficult.

This project aims at solving this problem by offering a nanoscale characterization platform for the European manufacturers of coatings, photovoltaic cells, and semi-conductor circuits. It is proposed to use a combination of scanning microwave microscopes, dielectric resonators, and simulation to measure the material and interface properties of complicated material systems and nano-structures. A metrological system of cross-checks between different instruments, models and simulations with associated error bars is indispensable for obtaining trustworthy results.

Scanning microwave measurements will be directly used for three-dimensional characterization of electrical properties of nanostructured semiconductors used in organic and hybrid photovoltaic cells. The objective is to accelerate the development of high efficiency cells and to have measures to predict performances in early stages of prototype production. Where process monitoring of materials with nanostructures is necessary, a dielectric resonator is used to translate insights from scanning microwave microscope measurements to fabrication environments. Such dielectric resonators could be directly integrated in production lines for monitoring thin film deposition processes.

An open innovation environment will make the uptake of the results easier for European industry. A database containing exemplary measurement datasets of scanning microwave microscopes will be available in calibrated and raw versions. Simulation results of tip-semiconductor interactions will be made available on the EMMC Modeling Market Place.",3992176.25,3992176.25,H2020-NMBP-2017-two-stage,RIA,UNIVERSITE DE LILLE,FR,EIDGENOSSISCHES INSTITUT FUR METROLOGIE METAS;AYMING;KEYSIGHT TECHNOLOGIES GMBH;QWED SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA;ADAMANT AERODIASTIMIKES EFARMOGES ETAIREIA PERIORISMENIS EFTHYNIS;DRACULA TECHNOLOGIES;MATERIA NOVA;EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH,CH;FR;AT;PL;EL;BE,
10846,213718,809091,BLUESKY,SIGNED,H2020-EU.3.4.;H2020-EU.2.1.1.;H2020-EU.2.3.1.,SMEInst-10-2016-2017,H2020,Robust kit to convert diesel vehicles to Natural Gas and Biogas for extended life and reducedcontaminants emission,2018-03-01,2018-06-30,https://www.crmt.fr/le-kit-bluesky,"The pollution spread in the world has forced all nations to fight for the preservation of the planet, through restricting oil derivatives and emission standards. On the other side, the global automotive sector is a huge market with €1,761G of yearly sales. Solutions available in the market, as an alternative to standard diesel vehicles, can be divided into four categories: 1) NG vehicles, 2) Biofuels, 3) Hybrids, 4) Full electric. These existing technologies fail in providing a cost-effective and transition solution to upgrade current vehicles. Most of all, these solutions do not deal with the existing vehicles and only focus on purchasing new ones. This process of replacing current vehicles will take many years, thus a transition solution is today required to upgrade this vehicles in use, reduce their emissions, reduce maintenance and fuel costs and bring them up to current European Standards. BLUESKY system is a unique kit for conversion of diesel-powered commercial buses and trucks to Liquefied Natural Gas fuel through a computerized and catalyst system. We collect no longer valid diesel engines (Euro IV and V) and extend their technical life meeting Euro VI standard, with the additional benefits of: 1) 20% cost reduction on fuel and maintenance costs, 2) 20% less CO2 emissions, 3) 100% elimination of solid particles emissions, 4) 10 times less of NOx emissions. There are currently 500 NG vehicles (of which 20% of total French NG vehicles) in France, Italy and UK running with our best seller product: CRMT 5\ which is a first version of BLUESKY. CRMT is a R&D SME company founded in 1977, with 22 people and based in Lyon, France. It is specialized in internal engine combustion, alternative fuels and pollutants reduction, with strong expertise in natural gas (NG) engines.",71429.0,50000.0,H2020-SMEINST-1-2016-2017,SME-1,CRMT SAS,FR,,,
10855,213440,770887,PICOMETRICS,SIGNED,H2020-EU.1.1.,ERC-2017-COG,H2020,Picometer metrology for light-element nanostructures: making every electron count,2018-05-01,2023-04-30,,"Understanding nanostructures down to the atomic level is the key to optimise the design of advanced materials with revolutionary novel properties. This requires characterisation methods enabling one to quantify atomic structures with high precision.

The strong interaction of accelerated electrons with matter makes that transmission electron microscopy is one of the most powerful techniques for this purpose. However, beam damage, induced by the high energy electrons, strongly hampers a detailed interpretation. To overcome this problem, I will usher electron microscopy in a new era of non-destructive picometer metrology. This is an extremely challenging goal in modern technology because of the increasing complexity of nanostructures and the role of light elements such as lithium or hydrogen. Non-destructive picometer metrology will allow us to answer the question: what is the position, composition and bonding of every single atom in a nanomaterial even for light elements?

There has been significant progress with electron microscopy to study beam-hard materials. Yet, major problems exist for radiation-sensitive nanostructures because of the lack of physics-based models, detailed statistical analyses, and optimal design of experiments in a self-consistent computational framework. In this project, novel data-driven methods will be combined with the latest experimental capabilities to locate and identify atoms, to detect light elements, to determine the three-dimensional ordering, and to measure the oxidation state from single low-dose recordings. The required electron dose is envisaged to be four orders of magnitude lower than what is nowadays used. In this manner, beam damage will be drastically reduced or even be ruled out completely.

The results of my programme will enable precise characterisation of nanostructures in their native state; a prerequisite for understanding their properties. Clearly this is important for the design of a broad range of nanomaterials.",1998750.0,1998750.0,ERC-2017-COG,ERC-COG,UNIVERSITEIT ANTWERPEN,BE,,,
10857,213625,807148,ARRECIFE,CLOSED,H2020-EU.3.3.;H2020-EU.2.1.1.;H2020-EU.2.3.1.,SMEInst-09-2016-2017,H2020,Coral Reef wisdom to capture Wave Energy,2018-02-01,2018-05-31,https://www.arrecifesystems.com/,"The sea is the most abundant, inexhaustible and predictable renewable energy resource. The EU has set targets to deploy 100 GW of ocean energy devices by 2050, producing up to 10% of its electricity. However, current wave energy converters (WECs) face several constraints to reach the market. At Nowave Engineering Solutions S.L. we have developed an advanced multi-turbine system capable of efficiently capturing wave energy to produce electricity: ARRECIFE. While state-of-the-art WEC systems have reached a maximum capacity factor of 25%, Arrecife has already proven a capacity factor of 55%. This high performance is achieved thanks to the optimized design of Arrecife, which allows to capture both the horizontal (kinetic) and vertical (potential) energy components of the wave. Moreover, while most WEC systems are designed to work with waves of 6-8m, Arrecife is designed to work optimally with wave heights of 1-5 m, which constitute 85% of the available resource globally. Besides low capacity factors, other WEC systems are not competitive in our demanding energy market because of their high capital and operating costs, which results in LCOE of up to 110 €/MWh. Arrecife has a simple design, composed of commercially available materials, that reduces capital and operating cost and provides a LCOE of 46 €/MWh. Arrecife also incorporates a unique immersion mechanism, ensuring survivability during storms or under adverse sea conditions, increasing the lifetime of the system to over 20 years. This patented technology has been prototyped in a 1:10 scale and successfully tested in relevant environment.
The objective of this project is the industrial adaptation and commercialization of our patented wave energy conversion technology. For this, we first need to develop and test a 1:1 scale prototype, reaching a minimum conversion factor of 55%. After the first five years of commercialization, we aim to reach 68 units sold, which will rend us a profit of 17 M€ and a ROI of 5.5.",71429.0,50000.0,H2020-SMEINST-1-2016-2017,SME-1,ARRECIFE ENERGY SYSTEMS SL,ES,,,
