,title,objective,coordinator
4957,Positron Annihilation Detection Beyond the Limits,"Given the growth and aging of the world population, innovative solutions for sustainable energy and health are needed. Novel technologies play an enabling role in the realization of such solutions. Better devices for the detection of annihilation quanta resulting from positron annihilation are an example. In material science these detectors are needed for research on renewable energies and innovative energy storage using Positron Annihilation Lifetime Spectroscopy (PALS). In medicine they are required for diagnosis, staging, and treatment monitoring of diseases using Time-of-Flight Positron Emission Tomography (TOF-PET).
In both fields time resolution is a key parameter. Sub-100 picosecond resolution is needed but not yet available. Improvement of time resolution, however, must not deteriorate other performance parameters. This project aims to overcome present physical limits. Monolithic scintillation crystals will be read out with digital photon counter (DPC) arrays coupled to each of its surfaces. Innovative data processing methods will be developed to eliminate the influence of scintillation photon propagation, currently the major bottleneck in large scintillation crystals that are nevertheless needed for high detection efficiency. We aim at coincidence resolving times (CRT) < 100ps FWHM, 10% energy resolution, 1 mm isotropic spatial resolution, and 90% detection efficiency.
The detector will be incorporated in a PALS setup. After the performance has been characterized, it will be used for TU Delftâ€™s materials research on renewable energy. The detector characterization will also serve as a proof-of-concept for application in clinical TOF-PET devices. The results are furthermore expected to be of relevance to fields such as high-energy physics.
To investigate options for further improvement of the already unprecedented time resolution, studies will be done towards exploiting the Cherenkov-effect in a detector based on a hybrid Cherenkov/scintillation material.",TECHNISCHE UNIVERSITEIT DELFT
5031,Organic-Inorganic perovskite and organic semiconductor films with improved crystal properties via reel-to-reel solution coating; application to photovoltaics and field effect transistors,"This project will develop low cost and scalable solutionâ€“based coating techniques to yield electrically tunable films with macroscopic crystalline domains of both organicâ€“inorganic perovskite and organic semiconductors. These layers will be used to prepare solution processed hybrid perovskite-based photovoltaic (PV) devices surpassing 20 % solar-to-electricity power conversion efficiency, to provide a low cost and renewable energy supply. The researcher will carry out the processing and characterization of the materials at Professor Zhenan Bao's laboratory at Stanford University. Professor Bao is a world leader in using solution deposition techniques to tune the physical and electronic properties of solution-processed semiconductors for use in FETs, and is well suited to extend this approach to perovskite PV. The skills and knowledge obtained at Stanford University will be brought back to Professor Henry Snaith's laboratory at Oxford University and to Oxford Photovoltaics ltd to prepare low cost, scalable perovskite PV with enhanced macroscopic crystal properties and performance. Professor Snaith is recognized as one of the pioneers in perovskite based PV, and is thus excellently placed to guide the researcher in the development of PV with superior performance for eventual employment as large-scale energy supply. This project will form a unique union of two world leading research groups with complementary expertise.  There is great potential for the transfer of skills, generation of intellectual property, and industrial involvement within the EU via the ISIS program at Oxford University, and the company Oxford Photovoltaics of which Professor Snaith is the CTO.","THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD"
5038,"Smart TSO-DSO interaction schemes, market architectures and ICT Solutions for the integration of ancillary services from demand side management and distributed generation","The project SmartNet aims at providing architectures for optimized interaction between TSOs and DSOs in managing the exchange of information for monitoring and for the acquisition of ancillary services (reserve and balancing, voltage regulation, congestion management) both at national level and in a cross-border context. Local needs for ancillary services in distribution systems are supposed to co-exist with system needs for balancing and congestion management. Resources located in distribution systems, like demand side management and distributed generation, are supposed to participate to the provision of ancillary services both locally and for the system in the context of competitive ancillary services markets.
Through an in-depth and a simulation in a lab-environment, answers are sought for to the following questions:
â€¢	which ancillary services could be provided from distribution to the whole system (via transmission), 
â€¢	which optimized modalities could be adopted for managing the network at the TSO-DSO interface and what monitoring and control signals could be exchanged to carry out a coordinated action,
â€¢	how the architectures of the real time markets (in particular the balancing markets) could be consequently revised,
â€¢	what information has to be exchanged and how (ICT) for the coordination on the distribution-transmission border, starting from monitoring aspects, to guarantee observability and control of distributed generation, flexible demand and storage systems,
â€¢	which implications could the above issues have on the on-going market coupling process, that is going to be extended to real time markets in the next years, according to the draft Network Code on Electricity Balancing by ENTSO-E.
Different TSO-DSO interaction modalities are compared with reference to three selected national cases (Italian, Danish, Spanish) also supposing the possibility of a cross-border exchange of balancing services.
Physical pilots are developed for the same national cases.",RICERCA SUL SISTEMA ENERGETICO - RSE SPA
5883,Quantifying urban mines in Europe and related implications for the metal-energy-climate change nexus,"Securing access to raw materials is of particular concern for countries highly dependent on imports. This is the case of many EU States. Because of issues related to decreasing ore grades and scarcity of supply of primary metal forms, recycling of above-ground deposits of metal-bearing waste (or â€œin-use stockâ€) will become an increasingly important means of securing resources to provide essential building blocks to the European industry. Recycling of metal in-use stock has the further potential of avoiding consuming the large amounts of energy required in primary metal production, and of reducing related greenhouse gas emissions. Currently, however, because of metal losses during and after use, end-of-life recycling rates for many metals are often very low, so the potential for improving those recycling efficiencies is an important consideration for the achievement of a more resource efficient economy and sustainable development in Europe. 
This project proposes a comprehensive, exemplary research line that merges complementary drivers in the assessment of the metal-energy-climate change nexus for (i) estimating the size of current urban mines for selected, critical metals; (ii) assessing future opportunities and barriers to their recycling, and (iii) related potentials for carbon emissions reduction. The results of this project are expected to reach a wide impact in the research community and will timely inform an evidence base for future decision-making, and for enhancing the growth of European economy improving resource efficiency and recycling. 
While pursuing the objectives of this high-quality research proposal, the candidate will acquire new, desirable knowledge and competences that will open to him the best opportunities for achieving a leading position in research. A transfer of knowledge from the candidate to the host organisation will also contribute to implement a valuable, outstanding asset to UNIBO in the Industrial Ecology field.",ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA
5896,Energy Efficient FPGA Accelerators for Graph Analytics Applications,"It is reported that data centers today consume up to 3 percent of the global electricity usage. This is expected to increase in the upcoming years as the amount of data processed in the cloud increases substantially. An effective way for data centers to achieve better performance and energy efficiency is to perform computation on specialized processing elements. Field programmable gate arrays (FPGAs) enable customization of logic after manufacturing to achieve better energy efficiency compared to general purpose processors. Today, prominent hardware and software companies are investing in data center solutions that integrate FPGAs with CPUs, and significant energy consumption and performance improvements have been demonstrated for several data center applications. However, the main barrier for wide spread adoption of FGPAs in data centers is the cost of programming, which typically requires months of development time by hardware designers. This makes it unaffordable for small-to-medium software companies to effectively utilize the available FPGAs. The purpose of this project is to lower this barrier for emerging graph analytics applications for knowledge discovery and machine learning. The basic idea is to use an abstract interface that allows a domain expert to describe an application as a set of serial functions defined per vertex and/or edge. We propose a customizable implementation template that automatically maps the abstract user functions to massively parallel FPGA implementations. The proposed template will hide from users many low level implementation details such as parallelization, pipelining, synchronization, memory access optimization, race and deadlock avoidance, etc. This will help bridge the gap between high level application descriptions and costly hardware implementations. Our preliminary architecture simulations have shown that the proposed graph processors can achieve significantly better energy efficiency than general purpose processors.",BILKENT UNIVERSITESI VAKIF
5973,Energy Efficient Optimised District Heating and Cooling,"Intelligent Energy Europe expects district heating to double its share of the European heat market by 2020 while district cooling will grow to 25%. While this expansion will translate into 2.6% reduction in the European primary energy need and 9.3% of all carbon emissions, it will not be achieved through modernization and expansion alone but requires fundamental technological innovation to make the next generation of district heating and cooling (DHC) systems highly efficient and cost effective to design, operate and maintain. E2District aims to develop, deploy, and demonstrate a novel cloud enabled management framework for DHC systems, which will deliver compound energy cost savings of 30% through development of a District Simulation Platform to optimise DHC asset configuration targeting >5% energy reduction, development of intelligent adaptive DHC control and optimisation methods targeting an energy cost reduction between 10 and 20%, including flexible production, storage and demand assets, and system-level fault detection and diagnostics, development of behaviour analytics and prosumer engagement tools to keep the end user in the loop, targeting overall energy savings of 5%. Development of a flexible District Operation System for the efficient, replicable and scalable deployment of DHC monitoring, intelligent control, FDD and prosumer engagement, development of novel business models for DHC Operators, Integrators and Designers, validation, evaluation, and demonstration of the E2District platform, and development of strong and rigorous dissemination, exploitation and path-to-market strategies to ensure project outcomes are communicated to all DHC stakeholders. E2District addresses specifically the callâ€™s objective related to the development of optimisation, control, metering, planning and modelling tools including consumer engagement and behaviour analytics and supports the integration of multiple generation sources, including renewable energy and storage.",CORK INSTITUTE OF TECHNOLOGY
6796,Technology to turn waste from rapeseed oil production into valuable food protein.,"The continuing growth of world population is pushing demand for food. Climate changes and limited resources for farming lead to increased interest in new sources of nutrients alternative to meat. Additionally, human diet undergoes a significant shift towards proteins. Therefore, the growth of plant protein market is predicted to be drastically driven up in the coming years. Oilseeds, known for their high content of nutritious proteins, are expected to take center stage as main source of plant proteins aimed for human consumption. Nowadays, the main product of rapeseed processing is oil. A by-product â€“ rapeseed cake â€“ is used as animal feed. There is no commercial technology capable of extracting fully functional protein from rapeseed cake. At NapiFeryn BioTech (NFB) we came up with a new technology which allows more efficient use of this by-product. Our technology is protected with three patent applications. It enables full recovery of high-quality rapeseed cake proteins, ready to be used in food industry. Our business model is based on licensing of the technology to rapeseed processors. Licensing fee will be calculated individually for each oilseed processor or integrated formulator, based on the annual scale of the processed rapeseed. We have validated the pricing strategy with rapeseed processors. The first license agreement has been signed already in 2016. In the Ph2 project we aim primarily at delivering full-scale demonstrator (TRL9) of the rapeseed protein isolation technology at the commercial level (market launch), collect and prove all the data needed to quantify the cost-effectiveness of our technology. These activities will provide the input required for the main deliverables of the project: The Basic Engineering Level design of Biorefinery. With our technology the value that could be derived from the same amount of crop will double, from EUR 450 to EUR 900 per ton, which might be the only way for rapeseed processors to stay in business.",NAPIFERYN BIOTECH SP ZOO
7246,Big Data Value Spaces for COmpetitiveness of European COnnected Smart FacTories 4.0,"EFFRA recommendations on Factories 4.0 and Beyond (Sept 2016) clearly stated the need for development of large scale experimentation and demonstration of data-driven â€œconnected smartâ€ Factories 4.0, to retain European manufacturing competitiveness. BOOST 4.0 will address this need, by demonstrating in a measurable and replicable way, an open standardised and transformative shared data-driven Factory 4.0 model through 10 lighthouse factories. BOOST 4.0 will also demonstrate how European industry can build unique strategies and competitive advantages through big data across all phases of product and process lifecycle (engineering, planning, operation, production and after-market services) building upon the connected smart Factory 4.0 model to meet the Industry 4.0 challenges (lot size one distributed manufacturing, operation of zero defect processes & products, zero break down sustainable operations, agile customer-driven manufacturing value network management and human centred manufacturing). Our chief objectives include: 
(1) Establish 10 big data lighthouse smart connected factories (VW, FILL, AutoEuropa, \GF\, FIAT, Phillips, Volvo, GESTAMP, Benteler, Whirlpool). 
(2) Provide the RAMI 4.0 and IDS based BOOST 4.0 open EU framework and governance model, for both services and data assets. 
(3) Put together methodologies, assets, models and communities in order to maximise visibility, mobilization, replication potential, and impact (business, financial, standardization) of BOOST 4.0
The investment leveraging factor of BOOST 4.0 will be well above the 4:1 ratio, up to 10:1. In terms of exploitation, in 5-years horizon after the project end, just only the participating lighthouse factories will make a direct follow-on investment above 33Meuro (ROI 10,61), while the commercialisation of the BOOST 4.0 products in the market is expected to generate some 96Meuro cumulative profits  (ROI 4,73) for the rest of the partners.",ASOCIACION DE EMPRESAS TECNOLOGICAS INNOVALIA
7580,scalaBle and grEen wireleSs coMmunications for a sustAinable netwoRked socieTy,"The goal of the project is to develop energy-efficient and scalable designs for distributed mobile networks operated by renewable energy sources, and with very limited signaling overhead and computational complexity.  The project will design  wireless networks, composed by smart nodes, which are able to perform the following tasks:â€¨
	1) Â Self-configure, autonomously allocating their own physical layer radio resources through energy-efficient, feedback-aware, and complexity-aware radio resource allocation.

	2) Â Self-sustain by harvesting energy from renewable and intermittent energy sources, such as solar and wind, as well as from dedicated radio frequency signals present over the air.	

             3) Â Sharing or trading energy with other network nodes in order to prolong the lifetime of nodes which are low on battery and to obtain a more fair energy distribution across the whole network.â€¨
The long-term vision of the project is to kick-start a paradigm shift from core-centric, throughput-optimized networks, towards device-centric, energy-optimized networks. The development of autonomous, energy-independent, and self-organizing wireless networks will enable: 

         a) 100% coverage in urban environments in a power efficient manner;

         b) network coverage in remote/developing areas where currently it is commercially unattractive to do so. 

These advancements will make the vision of a connected society sustainable, almost zeroing the operational expenses related to power and hence revolutionizing the business models for ICT by radically reducing energy costs. This will also facilitate the rise of new markets and applications in remote areas, which contributes to closing the digital divide between densely populated and scarcely populated or rural areas.",CENTRALESUPELEC
8009,Optimised and Systematic Energy Management in Electric Vehicles,"Innovation in the automotive industry is of pivotal importance for EuropeanÂ´s prosperity. OSEM-EV will provide solutions for better autonomy and predictable range to address todayÂ´s car buyers concern about electro mobility. Just increasing the battery capacity is not a viable option because the expectation is to have a familiar level of comfort and safe, eco and human oriented mobility at affordable costs. OSEM-EV will translate the foreseen project innovations into a customer value proposition. The highest priority is improved mileage and predictable range without adding further cost and weight. The negative impact of high and low ambient temperatures will be limited. Cars autonomy will be increased due to a reduction of at least 50% of energy used for passenger comfort and at least 30% for component cooling in extreme conditions compared to current FEVs. The consortium will focus on thermal and coupled electro-thermal energy substitution and harvesting and smart energy usage for cooling and heating of the passenger compartment and in-car infrastructure. OSEM-EV goes for novel electro-thermal architectures and control algorithms including thermal insulation, thermal storage, innovative heating and cooling approaches applied to the powertrain (battery, inverter and motor), battery life duration enhancement as a side effect of thermal management, electronic control of energy and power flows, energy efficiency of electrified accessories, energy substitution and harvesting functions. The consortium will take a radical approach, which does not only rely on improving the efficiency of subsystems but also focuses on their interoperability. By creating an electro-thermal network, most of the energy shall be reutilized, no matter if stored in mechanical, electrical or thermal form.",INFINEON TECHNOLOGIES AG
8045,Sub-seasonal to Seasonal climate forecasting for Energy,"Large scale deployment of renewable energy (RE) is key to comply with the GHG emissions reduction set by the COP21 agreement. Despite cost competitive in many settings, RE diffusion remains limited largely due to its variability. This works as a major barrier to REâ€™s integration in electricity networks as knowledge of power output and demand forecasting beyond a few days remains poor. To help solve this problem, S2S4E will offer an innovative service to improve RE variability management by developing new research methods exploring the frontiers of weather conditions for future weeks and months. The main output of S2S4E will be a user co-designed Decision Support Tool (DST) that for the first time integrates sub-seasonal to seasonal (S2S) climate predictions with RE production and electricity demand. To support the dissemination of climate services, a pilot of the DST will be developed in two steps. The first will draw on historical case studies pointed as relevant by energy companies - e.g. periods with an unusual climate behaviour affecting the energy market. The second step will improve probabilistic S2S real-time forecasts built up into the DST and assess their performances in real life decision-making in these companies. This process will be co-designed with consortiumâ€™s partners which represent different needs and interests in terms of regions, RE sources (wind, solar and hydro) and electricity demand. Besides the partners, S2S4E will engage other users from the energy sector as well as other business areas and research communities to further explore DST application and impact. As a result, DST will enable RE producers and providers, electricity network managers and policy makers to design better informed S2S strategies able to improve RE integration, business profitability, electricity system management, and GHG emissionsâ€™ reduction. The long-term objective is to make the European energy sector more resilient to climate variability and extreme events.",BARCELONA SUPERCOMPUTING CENTER - CENTRO NACIONAL DE SUPERCOMPUTACION
8584,Solid-state reactions for thermal energy storage,"In this project proposal reversible solid-state chemical reactions (eutectoids, peritectoids) are proposed for the storing of thermal energy at high temperature (300-800 Â°C). The development of a novel heat storage concept, based on solid-solid reactions, proposed in this project, could contribute to open new scenarios in the thermal energy storage field. To the best of our knowledge, the use of this class of reactions for TES applications has not been explored so far. The goal of this study is the identification of solid-state reactions fulfilling a large number of scientific and technological requirements (high storage capacity, good thermal conductivity, mechanical and chemical stability, complete reversibility of a charging/discharging cycles etc.). 
For this scope, an interdisciplinary research strategy will be followed involving materials chemistry, physics and engineering disciplines to achieve a complete overview of their behaviour starting from basic research challenges, focused on the material development and characterization (reactivity, stability, kinetic, reversibility, heat and mass transfer etc.), up to arrive to the investigation of their feasibility in real applications (e.g. concentrated solar power technologies (CSP) and waste heat recovery). 
During the project a two direction transfer of knowledge will be applied. On one side, an intense training will be offered to the applicant by the host laboratory with the objective to increase his scientific and managerial skills. Secondment in one established European technological center with recognized international expertise in concentrating solar plants (CSP) technologies is also planned. On the other side, the applicant will make available the knowledge and competences matured along his career both to give an impulse to the scientific work and fulfil the objectives set in the project and to explore other funding opportunities and collaborations.","CENTRO DE INVESTIGACION COOPERATIVA DE ENERGIAS ALTERNATIVAS FUNDACION, CIC ENERGIGUNE FUNDAZIOA"
8681,Silicon based materials and new processing technologies for improved lithium-ion batteries,"According to the European Energy Storage Technology Development Roadmap towards 2030 (EASE/EERA) energy storage will be of the greatest importance for the European climate energy objectives. The Sintbat project aims at the development of a cheap energy efficient and effectively maintenance free lithium-ion based energy storage system offering in-service time of 20 to 25 years. Insights gained from advanced in-situ and in-operando analysis methods will be used for multi scale modelling targeting on the simulation of aging mechanisms for a reliable lifetime prediction and enhancement. In addition, the latest generation of anode materials based on silicon as well as a prelithiation process for lifetime enhancement will be implemented in the cell manufacturing process. The implementation of high energy materials combined with a low cost and environmental benign aqueous cathode manufacturing process will lead to remarkable cell costs reduction down to 130 â‚¬ per kWh. This will enable battery based storage system for an economic reasonable price of less than 400 â‚¬ per kWh (CAPEX) and will lower the OPEX down to less than 0.09 â‚¬ per stored kWh for the targeted in-service time of 20 to 25 years (10,000 cycles). The technical developments will be supported by the set-up of a relevant roadmap as well as a catalogue for good practice. To guarantee the highest possible impact for the European economy the Sinbat consortium installed an Industrial Advisory Board including various European battery material suppliers, cell manufacturer and end-users whereby the whole value added chain in this way is completed within the Sintbat project. This strong interaction of the Sintbat consortium with relevant stakeholders in the European energy economy will assure that battery based energy storage systems are becoming an economic self-sustaining technology.",VARTA MICROBATTERY GMBH
8797,Researches on the potential conversion of conventional fish farms into organic by establishing a model and good practice guide,"The conversion of conventional aquaculture farms in sustainable aquaculture farms help aquaculture businesses to achieve economic viability and competitiveness. Sustainable aquaculture is undoubtedly the management technique that has most contributed to support aquaculture businesses to adopt aqua-environmental measures for protection of the environment, natural resources and landscape.
Aquaponics is known as a sustainable production system for plants and fish that combines traditional aquaculture (aquatic livestock), such as fish, crayfish and shrimp with the hydroponics (growing plants in water) in a symbiotic environment. The Aquaponics is a production system where the waste is utilized as nutrients is a system sustainable for the environment, where high-value products on the market are obtained because they are grown with organic nutrients and free of chemicals or pesticides.
By this research project, we aim at to improving onboard waste management and reduce the amount of waste disposed of inappropriately. In order to achieve this goal, we have the following objectives: to integrate aquaculture production system with agricultural production system (aquaponics) and to reconcile and achieve social, economic and environmental objectives with processing and marketing action to add more value to end aquaponics products.
The project will develop concepts for the next generation of aquaculture production systems which can be used for multiple purposes, including aquaculture, agriculture and social farming.
The project originality comes through its multidisciplinary character in the sense that it combines a research team specialized in various fields, whose experience will result in a production platform product, including all necessary technical indicators for developing and interpretation socio-economic of the results obtained.",UNIVERSITATEA DE STIINTE AGRONOMICE SI MEDICINA VETERINARA DIN BUCURESTI
8917,Concentrating Photovoltaic modules using advanced technologies and cells for highest efficiencies,"It has been proven that the only realistic path to close the gap between theoretical and practical ultra-high efficiency solar cells is the monolithic multi-junction (MJ) approach, i.e. to stack different materials on top of each other. Each material/sub solar cell converts a specific part of the sunÂ´s spectrum and thus manages the photons properly. However, large area multi-junction cells are too expensive if applied in standard PV modules. A viable solution to solve the cost issue is to use tiny solar cells in combination with optical concentrating technology, in particular, high concentrating photovoltaics (HCPV), in which the light is concentrated over the solar cells more than 500 times. The combination of ultra-high efficient cells and optical concentration lead to low cost on system level and eventually to low levelised electricity costs, today well below 8 â‚¬cent/kWh and at the end of this project below 5 â‚¬cent/kWh. Therefore, to achieve an optimised PV system (high efficiency, low cost and low environmental impact), world-wide well-known partners in the field of CPV technology propose this project to run and progress together the development of highly-efficient MJ solar cells and the improvement of the concentrator (CPV module) technique.

The central objective of the project is to realise HCPV solar cells and modules working at a concentration level â‰¥800x with world record efficiency of 48 % and 40 %, respectively, hence bringing practical performances closer to theoretical limits. This should be achieved through novel MJ solar cell architectures using advanced materials and processes for better spectral matching as well as through innovative HCPV module concepts with improved optical and interconnection designs, thus including novel light management approaches. The ambition for this project is not less than to achieve the highest efficiencies on solar cell and module level world-wide, thus Europe will be the top player for the CPV-technology.",FRAUNHOFER GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
9089,Robust and Efficient processes and technologies for Drop In renewable FUELs for road transport,"The overall objective of REDIFUEL is to enable the utilization of various biomass feedstock for an ultimate renewable EN590 diesel biofuel (drop-in capable at any ratio) in a sustainable manner. REDIFUELâ€™S ambition is to develop new technologies, solutions and processes to be integrated to reach high conversion efficiencies for renewable fuel production. And, to proof the techno-economic potential to reach a highly competing production cost level of â‚¬ 0.90 - 1.00 per litre (depending on biomass source) at moderate production plant sizes, e.g. 10-25 kt/a. The proposed drop-in biofuel contains high-cetane C11\ bio-hydrocarbons and C6-C11 bio-alcohols which has exceptional performance with respect to combustion and soot-inhibition properties. The environmental and the society aspects are taken into account by a comprehensive Biomass-to-Wheel performance check of the developed technologies.",FEV EUROPE GMBH
9335,Building energy renovation through timber prefabricated modules,"About 40% of the overall energy consumption in Europe is related to the building sector and represents about 1/3 of Europeâ€™s CO2 emissions. The successful accomplishment of the emission reduction target by 2050, involves the need to increase the rate of retrofitting of the inefficient building stock up to 2.9%. In order to increase the renovation rate, more efficient renovation processes from design to manufacturing phase are needed. The use of prefabricated modules for renovation reduces on-site works, installation time, works intrusiveness, minimising the consumption of raw material; however there is a need to define holistic methodologies to adapt prefabrication processes to individual renovation solutions as well as to mass production, linked to computer design tools. 
Giving answer to the mentioned needs BERTIM will provide: (1) High energy performance prefabricated modules for deep renovation, integrating windows, insulation materials, collective HVAC systems, renewable energy systems and energy supply systems. The modules will be based in timber and recyclable materials for a low carbon foot print. The assembly system will guarantee a very little time in the installation and low disturbance to tenants. (2) An innovative holistic renovation process methodology based on a digital workflow from design to installation phase. In order to support the renovation process, a renovation project design tool oriented to SME integrating BIM with CAD/CAM tools and assuring the interoperability with CNC machines for mass manufacturing processes will be developed and implemented in three industrial settings. (3) Affordable business opportunities for different stakeholders as potential leaders in the launching of the renovation process. The whole renovation process and the developed timber modules will be validated in a full-scale research infrastructure, and then, they will be demonstrated in two real buildigns in two different climatic zones (South and North Europe).",FUNDACION TECNALIA RESEARCH & INNOVATION
9677,Tackling the Electronic Waste Challenge in Emerging Economies,"Electronic waste (E-waste) or waste electrical and electronic equipment (WEEE) is one of the fastest growing waste streams in the world today. It is a complex stream of waste as it contains both hazardous chemicals and valuable/precious metal components. A major challenge for the research community, therefore, is to find effective (policy) solutions for addressing the environmental and health problems caused by E-waste management in low and mid-income countries while, at the same time, enhancing the recovery of precious metals to reuse these resources. During my Marie SkÅ‚odowska-Curie fellowship, I will analyse why emerging economies adopt E-waste policies that seem inadequate and ineffective in their local contexts and identify alternative approaches. In a first step, I will develop a novel analytical framework to analyse the effectiveness of E-waste policies in emerging economies and, as a second step, I will seek to explain the degree of effectiveness of E-waste policies in India and South Africa. The research aims to make conceptual, empirical and policy-relevant contributions: I strive to contribute to the academic literature by developing a novel analytical framework that helps evaluate E-waste policies in non-Western countries. Current literature on E-waste is largely based on assumptions derived from Western policies, polities and societies. By analysing the cases of India and South Africa, my research will focus on two countries whose E-waste policy has hardly been analysed. The findings of the project will provide insights that both the EU and non-European policymakers can use in their decision- making. The EU has a keen interest in supporting non-EU countries tackle their E-waste challenges through effective policies, especially since parts of the E-waste that causes problems in those countries originates from the EU and is a direct result of European consumption. I will contribute to the understanding of how such EU support could be designed.",KATHOLIEKE UNIVERSITEIT LEUVEN
9935,CLear Air Situation for uaS: Maturing ground based technologies for a real-time Unmanned Aerial System Traffic Management System (UTMS) to monitor and separate Unmanned Aerial System (UAS) traffic,"CLASS will bring the main technologies required for surveillance of Unmanned Aerial Systems (UAS) Traffic at a better level of maturity, allowing developing a pre-operational prototype of a UAS Traffic Management System (UTMS).
CLASS will compose existing technologies to build the core functions of a UTMS:
 â€¢ real-time tracking (cooperative and non-cooperative) and display,
 â€¢ aggregation of relevant aeronautical data,
 â€¢ provide adjusted services  to each stakeholder (operators, ANSP, Authorities),
 â€¢ advanced functions such as geo-fencing (warn UAS pilot of unauthorised zones trespassing), geo-caging (warn UAS pilot if trespassing a pre-defined zone), conflict detection and resolution.
CLASS follows mainly a bottom-up approach starting from technologies up to defining a system meeting usersâ€™ operational needs for UAS Traffic Management. CLASS will consider the outcomes of the project awarded for Work Area 1 which focuses on the concept of operation.
First, CLASS will assess the performance of cooperative and non-cooperative UAS detection and tracking technologies through live experimentations. Data fusion will be developed to merge data of the same UAS detected by both cooperative and non-cooperative trackers.
Secondly, a prototype of a real-time centralized UTMS will be developed. This platform will propose an overall view of both the planned and the current real-time UAS traffic situation. Advanced functions will be implemented.
Finally, a demonstrator fed  by the real data acquired during the live experimentation, and by a UAS traffic simulator will be built. The outcomes will be evaluated through a series of Key Performance Indicators which will have been derived from the Concept of Operations.
All along the project, results will be published and shared to the UAS and the ATM community. Conclusions and recommendations for follow up will be largely disseminated to enable UAS safely operations at large scale for the benefit of the growing UAS business.",AIRBUS DEFENCE AND SPACE SAS
10408,Towards a Joint Programming on Radioactive Waste Disposal,"The goal of this project is to prepare the setting up of a â€œJoint Programming on Radioactive Waste Disposalâ€ that would be established to coordinate at the European level, national research programmes and the associated research and development (R&D) activities on geological disposal for high activity long lived radioactive waste. This action includes reviewing of all strategic aspects linked to a stepwise move towards a Joint Programming in this field.
This project will involve organisations that are active in the safety, management and disposal of radioactive waste and research entities.
The first step of this project will be to engage in discussion with Member States representatives in order to clarify the organisation of their national R&D consistent with the implementation of the Council Directive. The second step will be to identify existing research programmes that could contribute to the identification of common scientific objectives and activities as well as specific aspects that the organisations would like to develop in the Joint Programme. The third step will be to draft the joint â€œProgramme Documentâ€ that should be the technical background of the Joint Programming. 
The outcomes of the project will be (i) a preliminary evaluation of a potential in-kind and financial commitment of organisations, (ii) a â€œProgramme Documentâ€ consisting of large programmes focused on key priorities of WMOs, TSOs side and Research Entities and (iii) a â€œSummary reportâ€ comprising a proposal for the implementation of this Joint Programming.
This action will lead to the further integration of the interested research community and hence help to maintain and develop the EU leadership in knowledge and expertise for innovative radioactive waste management solutions that effectively matches public expectations. Moreover, it will further reinforce and make the interaction at EU level between WMOs, TSOs, industry, policy makers and the research community more effective.",AGENCE NATIONALE POUR LA GESTION DES DECHETS RADIOACTIFS
10590,Advanced laser ablation barrier films for organic and large area electronic devices,"The overall objective of this project is developing organic electronic building elements on flexible substrates with monolithically integrated barrier foils as substrate. The barrier acts as the inevitable protection against atmospheric gases as water vapor and oxygen, as the most crucial agents for unwanted material degradation processes. This topic is one of the keys for enhancing both the performance of TOLAE components and addresses some of the main technology barriers of TOLAE: lifetime and cost-performance-ratio.
Organic photovoltaic (OPV) modules have been chosen as test objects for a scalable and general approach suitable also for other TOLAE devices. Monolithical integration of barrier foils means in this case that the full device is made immediately on top of ultra-barrier coated plastic foil, which further is coated with a transparent electrode. This leads to significant cost reduction, which is one of the key needs for wider use of TOLAE devices.
The project ALABO develops direct laser scribing processes on flexible substrates, coated with ultra-barrier systems. The project results will be applicable to a number of TOLAE technologies, such as OPV, OLED, OTFT and thin-film inorganic PV on polymer foil substrates. The consortium will investigate and develop new manufacturing processes, which will increase the performance and functionality of TOLAE devices suitable for smart systems. OPV can be part of such smart TOLAE systems. By developing direct laser structuring on top of such ultra-barrier foil, the consortium develops advanced materials, as well as new production technologies supported by dedicated monitoring and material testing technologies for well-scalable manufacturing processes. As an outcome, more functionality will be integrated into less material, since in - contrast to state-of-the-art encapsulation processes - the devices will need only one foil per side, instead of at least two today.",FRAUNHOFER GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
